Dataset,Algorithm,Setup A (Balanced) AUC,Setup B (Imbalanced) AUC,Difference (A - B)
commonsense_qa,BB,0.7560800000000001,0.7489159999999999,0.00716400000000017
commonsense_qa,LR,0.83046,0.82774,0.0027199999999999447
commonsense_qa,DIM,0.7913439999999999,0.7852160000000001,0.0061279999999998
commonsense_qa,LAT,0.717424,0.732656,-0.015232000000000023
commonsense_qa,CCS,0.803704,0.7876759999999999,0.016028000000000042
commonsense_qa,LDA,0.700212,0.686032,0.01417999999999997
commonsense_qa,PCA,0.743072,0.7383040000000001,0.0047679999999998834
commonsense_qa,PCA-G,0.781488,0.7739759999999999,0.007512000000000074
commonsense_qa,LR-G,0.9341999999999998,0.9383319999999999,-0.0041320000000001356
arc_challenge,BB,0.7047012896947461,0.6931801657699579,0.011521123924788212
arc_challenge,LR,0.7763224125009788,0.7493428485139988,0.026979563986979982
arc_challenge,DIM,0.7061777832462726,0.7019831992930728,0.004194583953199715
arc_challenge,LAT,0.5582711602778492,0.5568394089551572,0.0014317513226920209
arc_challenge,CCS,0.7475643449178421,0.7270388474401853,0.02052549747765675
arc_challenge,LDA,0.6450263419872261,0.6140982763056341,0.03092806568159201
arc_challenge,PCA,0.5669958949005045,0.5629690943054328,0.004026800595071656
arc_challenge,PCA-G,0.6968490285343564,0.6844666167045113,0.012382411829845119
arc_challenge,LR-G,0.9134014160915426,0.8907842194158903,0.022617196675652318
open_book_qa,BB,0.73058,0.7133379999999999,0.01724200000000009
open_book_qa,LR,0.777164,0.7629319999999999,0.014232000000000022
open_book_qa,DIM,0.7338359999999999,0.738588,-0.0047520000000000895
open_book_qa,LAT,0.7077,0.7138519999999999,-0.006151999999999935
open_book_qa,CCS,0.7611000000000001,0.690248,0.07085200000000014
open_book_qa,LDA,0.655536,0.650208,0.005327999999999999
open_book_qa,PCA,0.71534,0.7113039999999999,0.0040360000000000396
open_book_qa,PCA-G,0.7304280000000001,0.727772,0.0026560000000001027
open_book_qa,LR-G,0.9320200000000001,0.92272,0.009300000000000086
race,BB,0.746946,0.741634,0.005311999999999983
race,LR,0.800942,0.77117,0.02977200000000002
race,DIM,0.7638739999999999,0.756714,0.007159999999999944
race,LAT,0.551518,0.524478,0.027039999999999953
race,CCS,0.8052380000000001,0.7757299999999999,0.0295080000000002
race,LDA,0.695818,0.66257,0.033248000000000055
race,PCA,0.564414,0.53311,0.031304
race,PCA-G,0.7659739999999999,0.7666579999999998,-0.0006839999999999069
race,LR-G,0.9273819999999999,0.921594,0.005787999999999904
arc_easy,BB,0.859432,0.851704,0.007727999999999957
arc_easy,LR,0.8968440000000001,0.89174,0.0051040000000001085
arc_easy,DIM,0.849556,0.84938,0.00017599999999995397
arc_easy,LAT,0.6326919999999999,0.681076,-0.048384000000000094
arc_easy,CCS,0.8845519999999999,0.8702719999999999,0.01427999999999996
arc_easy,LDA,0.761056,0.7429320000000001,0.018123999999999807
arc_easy,PCA,0.602468,0.647472,-0.045004000000000044
arc_easy,PCA-G,0.834684,0.8203479999999999,0.014336000000000126
arc_easy,LR-G,0.978996,0.9794360000000001,-0.00044000000000010697
ag_news,BB,0.887196,0.887196,0.0
ag_news,LR,0.976792,0.976792,0.0
ag_news,DIM,0.910908,0.910908,0.0
ag_news,LAT,0.895608,0.891716,0.0038920000000000066
ag_news,CCS,0.965644,0.9378559999999999,0.027788000000000035
ag_news,LDA,0.9382920000000001,0.9382920000000001,0.0
ag_news,PCA,0.893408,0.893408,0.0
ag_news,PCA-G,0.892144,0.892144,0.0
ag_news,LR-G,0.980812,0.980812,0.0
dbpedia_14,BB,0.9770737098648227,0.9770737098648227,0.0
dbpedia_14,LR,0.9998502078871621,0.9998502078871621,0.0
dbpedia_14,DIM,0.9896967316980354,0.9896967316980354,0.0
dbpedia_14,LAT,0.961406264549065,0.9597625997433291,0.001643664805735856
dbpedia_14,CCS,0.9979717338234639,0.998910970855313,-0.0009392370318490606
dbpedia_14,LDA,0.9990081333068835,0.9990081333068835,0.0
dbpedia_14,PCA,0.963244254257942,0.963244254257942,0.0
dbpedia_14,PCA-G,0.9869276018282735,0.9869276018282735,0.0
dbpedia_14,LR-G,1.0,1.0,0.0
