Dataset,Algorithm,Setup A (Balanced) MAP,Setup B (Imbalanced) MAP,Difference (A - B)
commonsense_qa,BB,0.7258696497499724,0.7165935637881519,0.009276085961820502
commonsense_qa,LR,0.8111574681540812,0.8036574428047067,0.0075000253493744395
commonsense_qa,DIM,0.7827308106468811,0.7722587354917029,0.010472075155178229
commonsense_qa,LAT,0.7067337347866727,0.714910505621706,-0.00817677083503332
commonsense_qa,CCS,0.7959140625410115,0.7561137492402445,0.03980031330076694
commonsense_qa,LDA,0.6727342805941164,0.6688717979888879,0.00386248260522859
commonsense_qa,PCA,0.7288929285656701,0.7208524215868276,0.00804050697884251
commonsense_qa,PCA-G,0.7755031597729617,0.7627060499099267,0.01279710986303495
commonsense_qa,LR-G,0.9326534596963657,0.9381049051174097,-0.005451445421044032
arc_challenge,BB,0.6916816053224925,0.6771930554660096,0.014488549856482846
arc_challenge,LR,0.7674749563091945,0.7390230433175522,0.028451912991642292
arc_challenge,DIM,0.6964540567027915,0.6910274114613191,0.005426645241472405
arc_challenge,LAT,0.555282638198151,0.5537288321568207,0.0015538060413303745
arc_challenge,CCS,0.7343388997139277,0.7189589771336393,0.015379922580288419
arc_challenge,LDA,0.6404576892726125,0.6111339091219457,0.029323780150666834
arc_challenge,PCA,0.5601569490407329,0.5576248034367595,0.0025321456039734125
arc_challenge,PCA-G,0.6814084237547162,0.6612041608291188,0.020204262925597405
arc_challenge,LR-G,0.9095984852767736,0.8856020750268059,0.02399641024996768
open_book_qa,BB,0.6964922605464279,0.6774677215919573,0.019024538954470538
open_book_qa,LR,0.7558061041314925,0.752852420059078,0.0029536840724144753
open_book_qa,DIM,0.7206011302552666,0.7267178104394307,-0.006116680184164114
open_book_qa,LAT,0.6829609193778252,0.6903841150448433,-0.007423195667018101
open_book_qa,CCS,0.757769818031719,0.693795245711251,0.06397457232046799
open_book_qa,LDA,0.6622869006139286,0.6494748020129643,0.012812098600964328
open_book_qa,PCA,0.6940283153026804,0.6855633234138716,0.008464991888808782
open_book_qa,PCA-G,0.721315291207263,0.7156133997448403,0.005701891462422726
open_book_qa,LR-G,0.930877997696222,0.9227961797593665,0.008081817936855584
race,BB,0.7206421282579267,0.719318083141231,0.0013240451166957046
race,LR,0.7892204027200411,0.759769225634976,0.029451177085065172
race,DIM,0.7499243315060469,0.73494900298208,0.01497532852396688
race,LAT,0.557710125431088,0.5321034955853607,0.025606629845727258
race,CCS,0.7951029454352361,0.7562452713576198,0.03885767407761631
race,LDA,0.6795426615676522,0.6515382680717832,0.02800439349586903
race,PCA,0.570391301456753,0.538773824738138,0.031617476718615034
race,PCA-G,0.754759524956115,0.7618165616792929,-0.007057036723177923
race,LR-G,0.9308414297754617,0.923755441181568,0.007085988593893644
arc_easy,BB,0.8566379339633785,0.8617775410935055,-0.005139607130126955
arc_easy,LR,0.898325182246249,0.8995147004923488,-0.0011895182460998077
arc_easy,DIM,0.8434336441368011,0.8417318588645641,0.0017017852722369664
arc_easy,LAT,0.6027170824347415,0.6412315444257877,-0.038514461991046134
arc_easy,CCS,0.8886241048970611,0.8712489294137411,0.017375175483320016
arc_easy,LDA,0.7391361233598766,0.728584873247403,0.010551250112473598
arc_easy,PCA,0.5779111490750813,0.6161664500269977,-0.038255300951916316
arc_easy,PCA-G,0.8153868907627255,0.7918167200627919,0.023570170699933612
arc_easy,LR-G,0.979682739543406,0.9802782638782859,-0.00059552433487986
ag_news,BB,0.8554948946207075,0.8554948946207075,0.0
ag_news,LR,0.977450202578467,0.977450202578467,0.0
ag_news,DIM,0.8988299581790715,0.8988299581790715,0.0
ag_news,LAT,0.8713822646437719,0.8621509161140302,0.009231348529741723
ag_news,CCS,0.9661888111089745,0.9365393797492265,0.029649431359747958
ag_news,LDA,0.9312528357054343,0.9312528357054343,0.0
ag_news,PCA,0.8675979840783101,0.8675979840783101,0.0
ag_news,PCA-G,0.8694842646987233,0.8694842646987233,0.0
ag_news,LR-G,0.9811370880169685,0.9811370880169685,0.0
dbpedia_14,BB,0.9806971475572756,0.9806971475572756,0.0
dbpedia_14,LR,0.9998584771711702,0.9998584771711702,0.0
dbpedia_14,DIM,0.990959123244897,0.990959123244897,0.0
dbpedia_14,LAT,0.9662514708488172,0.9646539016810567,0.0015975691677605486
dbpedia_14,CCS,0.9980750111137421,0.9989293573114041,-0.0008543461976620037
dbpedia_14,LDA,0.9993311738836111,0.9993311738836111,0.0
dbpedia_14,PCA,0.9682687617542277,0.9682687617542277,0.0
dbpedia_14,PCA-G,0.9878692179549023,0.9878692179549023,0.0
dbpedia_14,LR-G,1.0,1.0,0.0
