layer,accuracy,auc
h0,0.75,0.8582830703131454
h1,0.6158536585365854,0.6449971081550029
h2,0.5813008130081301,0.6259935553168635
h3,0.6219512195121951,0.6691398826737173
h4,0.6971544715447154,0.763595802693547
h5,0.6483739837398373,0.7137899694290673
h6,0.6565040650406504,0.6982731554160124
h7,0.6565040650406504,0.7130959266297612
h8,0.693089430894309,0.7547384945881186
h9,0.7032520325203252,0.7667685697760886
h10,0.725609756097561,0.7994546806576881
h11,0.741869918699187,0.8244402214327027
h12,0.7439024390243902,0.8334627778236801
h13,0.7378048780487805,0.8401553333884161
h14,0.782520325203252,0.8618854829381146
h15,0.7987804878048781,0.8670742791043543
h16,0.7804878048780488,0.8613897380814675
h17,0.7723577235772358,0.8498554077501446
h18,0.7784552845528455,0.8427001569858712
h19,0.7967479674796748,0.8440056184417086
h20,0.8008130081300813,0.8404527803024044
h21,0.7967479674796748,0.8408989506733867
h22,0.7886178861788617,0.8367842683632158
h23,0.7987804878048781,0.8400396595885318
h24,0.7886178861788617,0.8377261835908453
h25,0.7886178861788617,0.8389324960753531
h26,0.790650406504065,0.8336445509377841
h27,0.7886178861788617,0.8328678839957034
h28,0.8008130081300813,0.8389159712467982
h29,0.8008130081300813,0.8441708667272576
h30,0.7723577235772358,0.8448979591836736
h31,0.7601626016260162,0.8461042716681814
